backend_name,timestamp,id0,id1,id2,id3,id4,rz0,rz1,rz2,rz3,rz4,sx0,sx1,sx2,sx3,sx4,x0,x1,x2,x3,x4,cx4_3,cx3_4,cx2_3,cx3_2,cx1_2,cx2_1,cx0_1,cx1_0,T1_q0,T2_q0,frequency_q0,readout_error_q0,prob_meas0_prep1_q0,prob_meas1_prep0_q0,T1_q1,T2_q1,frequency_q1,readout_error_q1,prob_meas0_prep1_q1,prob_meas1_prep0_q1,T1_q2,T2_q2,frequency_q2,readout_error_q2,prob_meas0_prep1_q2,prob_meas1_prep0_q2,T1_q3,T2_q3,frequency_q3,readout_error_q3,prob_meas0_prep1_q3,prob_meas1_prep0_q3,T1_q4,T2_q4,frequency_q4,readout_error_q4,prob_meas0_prep1_q4,prob_meas1_prep0_q4
ibmq_manila,2021-08-10 23:18:31-04:00,0.000659401150946,0.000416226233061,0.000280790288418,0.000170599175247,0.000694556355906,0,0,0,0,0,0.000659401150946,0.000416226233061,0.000280790288418,0.000170599175247,0.000694556355906,0.000659401150946,0.000416226233061,0.000280790288418,0.000170599175247,0.000694556355906,0.006565591119971,0.006565591119971,0.006703647431825,0.006703647431825,0.015692474848005,0.015692474848005,0.009645740211233,0.009645740211233,169.527278560569,115.953197678337,4.962801185723,0.0431,0.0758,0.0104,213.409180404715,53.4972813766569,4.8384091925174,0.037,0.058,0.016,150.642569623861,13.6439891813353,5.03694366344379,0.0211,0.035,0.0072,177.641145068906,61.2592857189575,4.95129300514818,0.0201,0.0268,0.0134,104.257618396374,38.7219991566786,5.06635786647267,0.0467,0.0836,0.0098
ibmq_manila,2021-08-11 23:40:08-04:00,0.00020091412254,0.000375613308885,0.000385329734144,0.000191454265384,0.000420966094897,0,0,0,0,0,0.00020091412254,0.000375613308885,0.000385329734144,0.000191454265384,0.000420966094897,0.00020091412254,0.000375613308885,0.000385329734144,0.000191454265384,0.000420966094897,0.005876249895049,0.005876249895049,0.006139730295618,0.006139730295618,0.013078877432707,0.013078877432707,0.00797397687673,0.00797397687673,165.261178247921,113.503365464658,4.96277497455823,0.0241,0.0362,0.012,262.77340464798,85.2805138832672,4.83840884223442,0.0483,0.0702,0.0264,185.864370608279,19.7228340474661,5.03693717314457,0.0242,0.0396,0.0088,138.478794874249,77.6318701933089,4.95128818103863,0.0255,0.0366,0.0144,98.5008757527035,36.7595145713402,5.06635304647067,0.0497,0.0734,0.026
ibmq_manila,2021-08-12 23:10:07-04:00,0.000169506024671,0.000231601849296,0.000358853050793,0.000177078882982,0.000434967860758,0,0,0,0,0,0.000169506024671,0.000231601849296,0.000358853050793,0.000177078882982,0.000434967860758,0.000169506024671,0.000231601849296,0.000358853050793,0.000177078882982,0.000434967860758,0.006200971291005,0.006200971291005,0.007290162613426,0.007290162613426,0.011310523815116,0.011310523815116,0.00590526308734,0.00590526308734,173.248381612143,115.670387879099,4.96278092098164,0.0225,0.0334,0.0116,161.917887728154,65.411653229015,4.83840645472175,0.0281,0.0414,0.0148,96.5202176104236,24.1187276738034,5.03693820861571,0.0211,0.0326,0.0096,184.405729978602,70.2802849445965,4.95129496927579,0.0172,0.0268,0.0076,155.290020401808,42.2097932296063,5.06635066274858,0.0516,0.0846,0.0186
ibmq_manila,2021-08-13 23:43:06-04:00,0.00017540098175,0.000231057866533,0.000239006471914,0.000175972202071,0.00044742554408,0,0,0,0,0,0.00017540098175,0.000231057866533,0.000239006471914,0.000175972202071,0.00044742554408,0.00017540098175,0.000231057866533,0.000239006471914,0.000175972202071,0.00044742554408,0.00611889738057,0.00611889738057,0.006451116541668,0.006451116541668,0.009490754515386,0.009490754515386,0.005949615789067,0.005949615789067,89.7482054034441,89.2165295501442,4.96278193086335,0.0204,0.032,0.0088,214.835009570711,85.8187936390593,4.83841165871306,0.0271,0.0326,0.0216,145.889684284677,23.9065861082379,5.03693301583175,0.0233,0.0336,0.013,157.64328617599,72.521338014828,4.95129513201491,0.0199,0.0288,0.011,132.855718847092,43.3155428348029,5.06635433441359,0.0479,0.0804,0.0154
ibmq_manila,2021-08-14 23:50:11-04:00,0.000246856591513,0.000228017910587,0.000401076507406,0.000178579188671,0.000547852145632,0,0,0,0,0,0.000246856591513,0.000228017910587,0.000401076507406,0.000178579188671,0.000547852145632,0.000246856591513,0.000228017910587,0.000401076507406,0.000178579188671,0.000547852145632,0.007153543158759,0.007153543158759,0.006519096978773,0.006519096978773,0.011450293799181,0.011450293799181,0.005583828420579,0.005583828420579,131.541252396448,65.6974901143511,4.96278160805191,0.0232,0.0348,0.0116,97.4605826025999,94.9612296362235,4.83841508835101,0.027,0.042,0.012,117.335714058257,26.7928130634279,5.03693730860501,0.0208,0.034,0.0076,206.236676719056,71.5284088816049,4.95129648639336,0.0237,0.038,0.0094,103.418974497102,44.9621502056895,5.06635247321194,0.0498,0.0786,0.021
ibmq_manila,2021-08-15 23:30:07-04:00,0.000290914449221,0.000248966490359,0.000227112444658,0.000178863997821,0.000523031938454,0,0,0,0,0,0.000290914449221,0.000248966490359,0.000227112444658,0.000178863997821,0.000523031938454,0.000290914449221,0.000248966490359,0.000227112444658,0.000178863997821,0.000523031938454,0.0062605735997,0.0062605735997,0.006611569034319,0.006611569034319,0.008918322911866,0.008918322911866,0.007353790382353,0.007353790382353,102.987750381614,77.3702302250956,4.96278212633709,0.0285,0.0436,0.0134,273.489799811044,83.5575725532311,4.83841854329164,0.0193,0.0228,0.0158,109.391169560113,24.6259738319982,5.03693743798486,0.0195,0.0286,0.0104,164.31860730601,72.2657594087385,4.95129247789857,0.0205,0.0282,0.0128,165.626301442616,43.6253635279378,5.06635044665235,0.0502,0.0846,0.0158
ibmq_manila,2021-08-16 23:23:01-04:00,0.000816376174533,0.000181101109224,0.000239511253834,0.000169966629124,0.000597600476971,0,0,0,0,0,0.000816376174533,0.000181101109224,0.000239511253834,0.000169966629124,0.000597600476971,0.000816376174533,0.000181101109224,0.000239511253834,0.000169966629124,0.000597600476971,0.005964723809233,0.005964723809233,0.007338068076988,0.007338068076988,0.010103355968443,0.010103355968443,0.008134083156916,0.008134083156916,145.555621150606,84.3207877756422,4.96280516347236,0.0337,0.0568,0.0106,289.536899816276,89.7731009735093,4.83842192919642,0.0248,0.0296,0.02,162.560660773179,25.5776690429144,5.03693632989913,0.0147,0.0206,0.0088,171.37994423573,70.5528940211443,4.9512963201612,0.0164,0.0238,0.009,153.484918380233,39.8816491703488,5.06635388884345,0.0521,0.0864,0.0178
ibmq_manila,2021-08-17 22:57:37-04:00,0.000290166866237,0.000226840733292,0.000228529244234,0.000162962225666,0.000549117225252,0,0,0,0,0,0.000290166866237,0.000226840733292,0.000228529244234,0.000162962225666,0.000549117225252,0.000290166866237,0.000226840733292,0.000228529244234,0.000162962225666,0.000549117225252,0.006985552043924,0.006985552043924,0.00576136581996,0.00576136581996,0.008986196353426,0.008986196353426,0.009013538520372,0.009013538520372,142.244157441717,96.3919558799151,4.96277429826355,0.0221,0.0336,0.0106,212.808260628781,96.3000157646034,4.8384259577586,0.0243,0.0342,0.0144,171.896419057855,27.3102030229792,5.03693409128189,0.0165,0.0262,0.0068,173.05800808052,60.4426654763961,4.95129499235694,0.0166,0.0254,0.0078,134.683083442172,43.8601948998649,5.06635781336252,0.0318,0.0566,0.007
ibmq_manila,2021-08-18 23:39:36-04:00,0.000215322695923,0.000246514949353,0.000217821538957,0.000167262029716,0.000699064077614,0,0,0,0,0,0.000215322695923,0.000246514949353,0.000217821538957,0.000167262029716,0.000699064077614,0.000215322695923,0.000246514949353,0.000217821538957,0.000167262029716,0.000699064077614,0.006787991240587,0.006787991240587,0.006191916144099,0.006191916144099,0.009184151300312,0.009184151300312,0.007389462963383,0.007389462963383,95.8340231658679,101.748701047839,4.96277998307546,0.0251,0.0386,0.0116,245.840553522532,48.6721015550893,4.83841951163888,0.0329,0.036,0.0298,194.93467146195,24.0760873188193,5.0369388247279,0.0214,0.0364,0.0064,189.342014461127,73.0312525514179,4.95130087049468,0.018,0.0234,0.0126,106.98739857855,44.0254759598458,5.06635431143429,0.0428,0.0742,0.0114
ibmq_manila,2021-08-19 23:10:06-04:00,0.000227203331559,0.000190487599307,0.000207467155948,0.000178417649336,0.000794097179088,0,0,0,0,0,0.000227203331559,0.000190487599307,0.000207467155948,0.000178417649336,0.000794097179088,0.000227203331559,0.000190487599307,0.000207467155948,0.000178417649336,0.000794097179088,0.00786450533959,0.00786450533959,0.005851204082398,0.005851204082398,0.008724115192574,0.008724115192574,0.005680495100188,0.005680495100188,176.939690241146,104.849646988027,4.96278475193948,0.0254,0.0356,0.0152,259.359278928522,94.8162908566819,4.8384081994282,0.0401,0.0398,0.0404,173.136701057312,24.0887253330023,5.03693638164343,0.0168,0.0252,0.0084,238.839974464599,75.4481466985275,4.95129029599176,0.0191,0.0262,0.012,79.8887825902974,45.6292248695654,5.06635515381018,0.038,0.0602,0.0158
