backend_name,timestamp,id0,id1,id2,id3,id4,sx0,sx1,sx2,sx3,sx4,x0,x1,x2,x3,x4,cx4_3,cx3_4,cx3_1,cx1_3,cx2_1,cx1_2,cx1_0,cx0_1,T1_q0,T2_q0,frequency_q0,readout_error_q0,prob_meas0_prep1_q0,prob_meas1_prep0_q0,T1_q1,T2_q1,frequency_q1,readout_error_q1,prob_meas0_prep1_q1,prob_meas1_prep0_q1,T1_q2,T2_q2,frequency_q2,readout_error_q2,prob_meas0_prep1_q2,prob_meas1_prep0_q2,T1_q3,T2_q3,frequency_q3,readout_error_q3,prob_meas0_prep1_q3,prob_meas1_prep0_q3,T1_q4,T2_q4,frequency_q4,readout_error_q4,prob_meas0_prep1_q4,prob_meas1_prep0_q4,accuracy,accuracy-diff,accuracy-diff-bad,accuracy-diff-good,accuracy-diff-mid,dynamic_training
ibmq_belem,2021-08-20 00:47:46-04:00,0.000306811,0.000242125,0.000261631,0.000207175,0.000471656,0.000306811,0.000242125,0.000261631,0.000207175,0.000471656,0.000306811,0.000242125,0.000261631,0.000207175,0.000471656,0.011434133,0.011434133,0.008191603,0.008191603,0.00818946,0.00818946,0.017577163,0.017577163,106.4019298,115.2833951,5.090069885,0.0245,0.0348,0.0142,82.70591347,75.03284453,5.245430977,0.0283,0.0488,0.0078,69.60166516,57.15229416,5.361392509,0.0285,0.044,0.013,97.76383801,138.1980556,5.17037105,0.0182,0.0308,0.0056,114.402096,180.0996821,5.258377342,0.0163,0.0276,0.005,0.825,0.82,0.755,0.85,0.815,0.85
ibmq_belem,2021-08-21 00:33:23-04:00,0.000438805,0.000286434,0.000252883,0.000195232,0.000477645,0.000438805,0.000286434,0.000252883,0.000195232,0.000477645,0.000438805,0.000286434,0.000252883,0.000195232,0.000477645,0.010104613,0.010104613,0.008106568,0.008106568,0.007808635,0.007808635,0.029826439,0.029826439,87.25024665,111.0318737,5.090072897,0.0535,0.0856,0.0214,78.86567778,88.93469185,5.245429804,0.0277,0.0428,0.0126,96.84745427,66.33399646,5.361402877,0.0209,0.0348,0.007,52.46294494,61.89757677,5.170372131,0.0167,0.0242,0.0092,117.1492362,159.7138746,5.258372244,0.0206,0.0338,0.0074,0.815,0.815,0.735,0.865,0.82,0.865
ibmq_belem,2021-08-22 00:34:48-04:00,0.000527928,0.000245316,0.000329796,0.000220998,0.000313394,0.000527928,0.000245316,0.000329796,0.000220998,0.000313394,0.000527928,0.000245316,0.000329796,0.000220998,0.000313394,0.00867374,0.00867374,0.007357837,0.007357837,0.006765178,0.006765178,0.027698216,0.027698216,60.56877364,52.81126074,5.090081578,0.0611,0.0992,0.023,94.61048521,74.24090815,5.245430291,0.0204,0.0272,0.0136,72.50658411,63.20547307,5.361403124,0.0286,0.0426,0.0146,102.2166432,116.5810192,5.170364714,0.0198,0.0312,0.0084,85.57525904,151.1751303,5.258380248,0.0298,0.0504,0.0092,0.815,0.79,0.71,0.825,0.8,0.825
ibmq_belem,2021-08-23 00:40:20-04:00,0.000585155,0.000254026,0.000255902,0.000229163,0.000413025,0.000585155,0.000254026,0.000255902,0.000229163,0.000413025,0.000585155,0.000254026,0.000255902,0.000229163,0.000413025,0.011898437,0.011898437,0.007116965,0.007116965,0.007079286,0.007079286,0.03476179,0.03476179,88.29312294,52.81126074,5.090062634,0.0315,0.0542,0.0088,105.6060077,109.1527637,5.245437083,0.0242,0.041,0.0074,71.68411649,52.28863178,5.361396914,0.023,0.0348,0.0112,42.18512708,55.81071837,5.170369878,0.0197,0.0348,0.0046,100.7376829,153.9811891,5.258369064,0.0537,0.0958,0.0116,0.81,0.765,0.705,0.79,0.815,0.815
ibmq_belem,2021-08-24 00:36:22-04:00,0.000391206,0.000293773,0.000275111,0.000225235,0.000243504,0.000391206,0.000293773,0.000275111,0.000225235,0.000243504,0.000391206,0.000293773,0.000275111,0.000225235,0.000243504,0.009120435,0.009120435,0.007726967,0.007726967,0.007248181,0.007248181,0.020428845,0.020428845,90.94814434,105.9681015,5.090064942,0.02,0.032,0.008,58.07995912,101.1467714,5.245438802,0.0357,0.0418,0.0296,87.10912238,70.67853822,5.361397753,0.0256,0.0392,0.012,106.4957873,130.7933305,5.170366494,0.0203,0.0304,0.0102,124.3832541,133.7093186,5.258373387,0.0224,0.034,0.0108,0.85,0.83,0.695,0.835,0.815,0.835
ibmq_belem,2021-08-25 00:34:47-04:00,0.000276049,0.000262326,0.000293917,0.000211464,0.000215224,0.000276049,0.000262326,0.000293917,0.000211464,0.000215224,0.000276049,0.000262326,0.000293917,0.000211464,0.000215224,0.008229728,0.008229728,0.00740753,0.00740753,0.007628701,0.007628701,0.018812123,0.018812123,100.2961242,106.9528134,5.090062541,0.0193,0.0314,0.0072,62.2102179,55.11809871,5.245430902,0.0236,0.0406,0.0066,72.38184365,58.73027636,5.361402694,0.0363,0.0582,0.0144,59.66162426,44.21530209,5.170368187,0.0154,0.0256,0.0052,138.3866517,225.759483,5.258378401,0.0251,0.0422,0.008,0.81,0.8,0.73,0.855,0.79,0.855
ibmq_belem,2021-08-26 00:39:13-04:00,0.000288518,0.000233146,0.000272731,0.000235775,0.000308284,0.000288518,0.000233146,0.000272731,0.000235775,0.000308284,0.000288518,0.000233146,0.000272731,0.000235775,0.000308284,0.007630486,0.007630486,0.006223985,0.006223985,0.006648165,0.006648165,0.019613978,0.019613978,98.28218886,111.9433463,5.090065422,0.0202,0.0292,0.0112,78.72447496,133.7236814,5.245431771,0.0204,0.0308,0.01,78.70724174,50.54494835,5.361406225,0.0214,0.036,0.0068,124.5892566,181.6944763,5.170370131,0.0132,0.0234,0.003,105.2309482,124.2533683,5.258373705,0.0188,0.0304,0.0072,0.81,0.785,0.76,0.855,0.79,0.855
ibmq_belem,2021-08-27 00:35:43-04:00,0.000355533,0.000242407,0.000350285,0.000199801,0.00078167,0.000355533,0.000242407,0.000350285,0.000199801,0.00078167,0.000355533,0.000242407,0.000350285,0.000199801,0.00078167,0.009082662,0.009082662,0.007065634,0.007065634,0.006818575,0.006818575,0.024487112,0.024487112,116.3193124,146.7293946,5.090068696,0.0465,0.076,0.017,79.71778839,99.88335625,5.245433753,0.0205,0.0344,0.0066,68.69294129,59.07685261,5.361407635,0.0207,0.032,0.0094,114.2909047,153.051277,5.170373347,0.0152,0.024,0.0064,130.4980005,173.8409663,5.25838766,0.0219,0.0308,0.013,0.81,0.8,0.73,0.86,0.81,0.86
ibmq_belem,2021-08-28 11:00:09-04:00,0.000275398,0.000233211,0.000241849,0.000214733,0.00383533,0.000275398,0.000233211,0.000241849,0.000214733,0.00383533,0.000275398,0.000233211,0.000241849,0.000214733,0.00383533,0.041178925,0.041178925,0.006527017,0.006527017,0.007637594,0.007637594,0.016136298,0.016136298,125.5514791,129.4653754,5.090064163,0.484,0.739,0.229,88.99733569,103.8921948,5.245435215,0.4885,0.906,0.071,77.97920902,51.85833242,5.361406863,0.4835,0.29,0.677,83.00073576,132.4211062,5.17036663,0.4815,0.484,0.479,116.9430195,173.8409663,5.25825124,0.474,0.247,0.701,0.825,0.835,0.74,0.855,0.815,0.855
ibmq_belem,2021-08-28 11:00:09-04:00,0.000275398,0.000233211,0.000241849,0.000214733,0.00383533,0.000275398,0.000233211,0.000241849,0.000214733,0.00383533,0.000275398,0.000233211,0.000241849,0.000214733,0.00383533,0.041178925,0.041178925,0.006527017,0.006527017,0.007637594,0.007637594,0.016136298,0.016136298,125.5514791,129.4653754,5.090064163,0.484,0.739,0.229,88.99733569,103.8921948,5.245435215,0.4885,0.906,0.071,77.97920902,51.85833242,5.361406863,0.4835,0.29,0.677,83.00073576,132.4211062,5.17036663,0.4815,0.484,0.479,116.9430195,173.8409663,5.25825124,0.474,0.247,0.701,0.825,0.835,0.74,0.855,0.815,0.855
ibmq_belem,2021-08-30 23:30:06-04:00,0.000275398,0.000233211,0.000241849,0.000214733,0.00383533,0.000275398,0.000233211,0.000241849,0.000214733,0.00383533,0.000275398,0.000233211,0.000241849,0.000214733,0.00383533,0.041178925,0.041178925,0.006527017,0.006527017,0.007637594,0.007637594,0.016136298,0.016136298,125.5514791,129.4653754,5.090028271,0.484,0.739,0.229,88.99733569,103.8921948,5.245344282,0.4885,0.906,0.071,77.97920902,51.85833242,5.361412964,0.4835,0.29,0.677,83.00073576,132.4211062,5.170392335,0.4815,0.484,0.479,116.9430195,173.8409663,5.258363718,0.474,0.247,0.701,0.215,0.215,0.215,0.215,0.215,0.215
ibmq_belem,2021-08-31 08:20:59-04:00,0.000199555,0.000275378,0.00021523,0.0004154,0.000252748,0.000199555,0.000275378,0.00021523,0.0004154,0.000252748,0.000199555,0.000275378,0.00021523,0.0004154,0.000252748,0.010472854,0.010472854,0.008216116,0.008216116,0.006984609,0.006984609,0.013280189,0.013280189,95.83920909,132.4217731,5.090026823,0.0177,0.0266,0.0088,73.0026093,89.89265642,5.245340741,0.023,0.0362,0.0098,87.18847872,38.19677483,5.361410051,0.0231,0.0386,0.0076,98.98157693,134.8198296,5.170388807,0.0218,0.0328,0.0108,75.42889091,134.0459773,5.258372122,0.0169,0.0276,0.0062,0.795,0.795,0.77,0.86,0.805,0.86
ibmq_belem,2021-09-01 00:37:29-04:00,0.000197537,0.000284296,0.000209446,0.000314199,0.000225581,0.000197537,0.000284296,0.000209446,0.000314199,0.000225581,0.000197537,0.000284296,0.000209446,0.000314199,0.000225581,0.009821451,0.009821451,0.009638337,0.009638337,0.006274479,0.006274479,0.020012379,0.020012379,103.0148166,122.6843921,5.090030771,0.0192,0.0296,0.0088,98.12281361,122.2370632,5.245483257,0.0184,0.0298,0.007,73.85344032,57.21991679,5.361410534,0.0234,0.037,0.0098,96.69581462,150.2317644,5.170386044,0.0438,0.073,0.0146,99.5482657,159.4127591,5.258372261,0.0174,0.0276,0.0072,0.795,0.795,0.77,0.86,0.805,0.86
ibmq_belem,2021-09-02 00:36:50-04:00,0.000192993,0.00139435,0.000236969,0.000330401,0.00022682,0.000192993,0.00139435,0.000236969,0.000330401,0.00022682,0.000192993,0.00139435,0.000236969,0.000330401,0.00022682,0.008744415,0.008744415,0.020945487,0.020945487,0.018881792,0.018881792,0.023734918,0.023734918,80.14569481,79.55945197,5.090030864,0.0175,0.0272,0.0078,49.74370989,67.83365418,5.245472631,0.0356,0.0624,0.0088,109.4290448,70.25583858,5.36140724,0.0199,0.0296,0.0102,135.7837674,175.7274462,5.170387337,0.0398,0.0684,0.0112,87.59584875,170.8833515,5.258367367,0.0228,0.0396,0.006,0.795,0.76,0.725,0.82,0.8,0.82
